isim                 soy isim             ortalama             durum                
taha berkay          güveri               87                   gecti
emre                 taçyıldız            80                   gecti
ekrem                duydu                79                   gecti
can                  çetinbaş             76                   gecti
el habibi            murda                52                   kaldi
jony                 sins                 46                   kaldi
kevin                orange               68                   gecti
sarah                lover                53                   kaldi
recep tayyip         erdoğan              41                   kaldi
ümit                 özdağ                85                   gecti
mansur               yavaş                79                   gecti
bülent               arınç                20                   kaldi
mustafa kemal        Atatürk              92                   gecti
Fatih Sultan         Mehmet               93                   gecti
sinem                başdöndüren          75                   gecti
almıla               bögü                 70                   gecti
vladimir             putin                54                   kaldi
keşanlı              trump                68                   gecti
otto von             bismark              73                   gecti
sevil                yılmaz               76                   gecti
